Date,,CMR,XIC,XIU,XBB,XSB,XIN,XEM,XSP,XQQ,XRE,Absolute,Total,Running ROR,34.20%
"Aug 31 2007",,,-1.310636,-0.595635,0.844242,0.788318,-0.433432,,1.222351,,1.915057,,1.92%,,
"Sep 30 2007",,,3.413456,3.209726,0.678683,0.707950,2.130008,,3.695675,,2.500048,,2.50%,,
"Oct 31 2007",,,3.869716,3.976314,0.644103,0.262073,2.688324,,1.296367,,-3.987040,,-3.99%,,
"Nov 30 2007",,,-6.204764,-5.769440,1.392578,0.942155,-4.666082,,-4.307462,,-3.150067,,-3.15%,,
"Dec 31 2007",,,1.329909,1.499181,0.628713,0.288395,-2.164902,,-0.915245,,-1.631517,,-1.63%,,
"Jan 31 2008",,,-4.720828,-4.289770,0.543761,1.511558,-9.928810,,-6.302441,,-5.901562,,-5.90%,,
"Feb 29 2008",,,3.408507,3.065238,1.324871,1.130013,-3.168260,,-2.697564,,-0.173376,,-0.17%,,
"Mar 31 2008",,0.279399,-1.427424,-1.220539,0.922524,0.407839,-2.497601,,-0.856945,,0.081501,,0.08%,,
"Apr 30 2008",,0.249399,4.540954,5.573545,-0.523667,0.057814,7.178805,,4.938200,,2.602084,,2.60%,,
"May 31 2008",,0.239399,5.758869,6.535334,-0.162581,-0.208943,1.448095,,1.198999,,2.648834,,2.65%,,
"Jun 30 2008",,0.239399,-1.443031,-1.489689,-0.087731,-0.221670,-10.136495,,-8.625609,,-4.959025,,-4.96%,,
"Jul 31 2008",,0.229399,-5.850570,-5.787156,0.923616,1.072934,-2.296309,,-0.657248,,-1.402738,,-1.40%,,
"Aug 31 2008",,0.219399,1.512060,1.406063,0.646375,0.726890,0.704914,,1.562069,,4.704543,,4.70%,,
"Sep 30 2008",,0.229399,-14.346213,-13.676537,-2.002969,-0.669606,-9.194848,,-8.444834,,-8.702188,,-8.70%,,
"Oct 31 2008",,0.229399,-16.608714,-16.111294,-0.866961,1.073682,-18.123648,,-21.096137,,-21.545911,,-21.55%,,
"Nov 30 2008",,0.199399,-4.730865,-4.493291,2.424318,1.337199,-6.036292,,-7.462402,,-10.084038,,-10.08%,,
"Dec 31 2008",,0.179400,-2.576047,-3.380494,2.921786,1.562519,4.032325,,0.868845,,-1.077640,,-1.08%,,
"Jan 31 2009",,0.127833,-2.959659,-3.145100,-1.037389,-0.308271,-10.098663,,-8.577517,,0.161176,,0.16%,,
"Feb 28 2009",,0.067835,-6.280277,-6.172408,0.708176,0.823527,-7.903731,,-10.843624,,-7.495252,,-7.50%,,
"Mar 31 2009",,0.047835,7.669299,8.283701,1.759161,1.139301,6.072084,,7.864092,,-1.044639,,-1.04%,,
"Apr 30 2009",,0.027836,7.193884,7.219468,0.021371,0.642053,9.625653,,9.758863,,8.026707,,8.03%,,
