Date,Open,High,Low,Close,Adj Close,Volume
2014-09-25,35.056995,35.139896,34.559586,34.580311,33.122475,4632
2014-09-26,34.683937,34.911919,34.632126,34.911919,33.440094,4729
2014-09-29,34.818653,34.818653,34.818653,34.818653,33.350773,579
2014-09-30,34.818653,35.025906,34.818653,35.025906,33.549278,483
2014-10-01,35.025906,35.025906,35.025906,35.025906,33.549278,0
2014-10-02,34.455959,34.455959,34.113991,34.414509,32.963673,10229
2014-10-03,34.414509,34.787563,34.414509,34.787563,33.320992,3474
2014-10-06,34.839378,34.839378,34.632126,34.632126,33.172108,2413
2014-10-07,34.943005,34.943005,34.186527,34.186527,32.745289,6273
2014-10-08,34.124352,34.207253,34.000000,34.207253,32.765144,5694
2014-10-09,34.414509,34.414509,34.227978,34.300518,32.854477,3571
2014-10-10,34.000000,34.134716,33.461140,33.461140,32.050480,8010
2014-10-14,33.088081,33.108807,32.797928,32.901554,31.514492,6369
2014-10-15,32.507771,32.652851,31.979275,32.455959,31.087679,8975
2014-10-16,32.051811,32.611401,32.051811,32.559586,31.186935,4246
2014-10-17,32.953369,33.150257,32.735752,32.911919,31.524420,4632
2014-10-20,33.005180,33.305698,32.891193,33.305698,31.901592,4150
2014-10-21,33.678757,34.217617,33.678757,34.176167,32.735374,12256
2014-10-22,34.321243,34.383419,34.155441,34.176167,32.735374,5115
2014-10-23,34.476685,34.683937,34.414509,34.569946,33.112553,10229
2014-10-24,34.559586,34.891193,34.559586,34.891193,33.420250,3378
2014-10-27,34.829018,34.901554,34.715027,34.870464,33.400391,3571
2014-10-28,34.860104,35.357513,34.860104,35.305698,33.817280,6369
2014-10-29,35.326424,35.326424,35.191711,35.212437,33.727955,2606
2014-10-30,35.056995,35.450775,35.056995,35.264248,33.777584,4825
2014-10-31,35.834198,35.948189,35.751293,35.844559,34.333424,4825
2014-11-03,36.041451,36.041451,35.927460,35.958549,34.442612,9361
2014-11-04,36.000000,36.000000,35.823833,35.865284,34.353279,2702
2014-11-05,36.145077,36.145077,35.720207,35.720207,34.214310,15151
2014-11-06,35.968910,35.968910,35.761658,35.792747,34.283798,1930
2014-11-07,35.927460,35.948189,35.834198,35.875648,34.363201,4150
2014-11-10,36.051811,36.082901,35.958549,36.041451,34.522018,8685
2014-11-11,36.010365,36.113991,36.010365,36.113991,34.591496,3378
2014-11-12,36.165802,36.248707,36.082901,36.196892,34.670902,3764
2014-11-13,36.352333,36.445595,36.269428,36.373058,34.839653,6562
2014-11-14,36.528496,36.528496,36.373058,36.424870,34.889275,3185
2014-11-17,36.300518,36.487045,36.269428,36.393784,34.859493,2799
2014-11-18,36.300518,36.694302,36.300518,36.683937,35.137421,3088
2014-11-19,36.715027,36.715027,36.373058,36.487045,34.948830,2799
2014-11-20,36.632126,36.673576,36.632126,36.663212,35.117565,3667
2014-11-21,36.943005,36.994820,36.663212,36.746113,35.196972,6755
2014-11-24,37.005180,37.046631,36.870464,37.046631,35.484825,4825
2014-11-25,37.067356,37.181347,37.056995,37.067356,35.504669,1930
2014-11-26,37.181347,37.305698,37.181347,37.305698,35.732971,2123
2014-11-27,37.481865,37.481865,37.357513,37.357513,35.782597,676
2014-11-28,37.502590,37.512955,37.450775,37.512955,35.931488,2413
2014-12-01,37.533680,37.533680,35.761658,37.077721,35.514603,18142
2014-12-02,37.160622,37.264248,37.139896,37.212437,35.643642,1834
2014-12-03,37.388599,37.388599,37.139896,37.181347,35.613850,11484
2014-12-04,37.409325,37.409325,37.243523,37.336788,35.762741,676
2014-12-05,37.461140,37.461140,37.305698,37.305698,35.732971,1158
2014-12-08,37.264248,37.316063,36.901554,36.943005,35.385555,5501
2014-12-09,36.673576,37.088081,36.528496,37.088081,35.524521,3957
2014-12-10,36.974094,37.005180,36.559586,36.611401,35.067936,4053
2014-12-11,36.569946,37.108807,36.569946,36.683937,35.137421,7238
2014-12-12,36.601036,36.673576,36.362694,36.362694,34.829716,6273
2014-12-15,36.569946,36.569946,35.772022,36.010365,34.492233,4343
2014-12-16,35.492229,35.834198,35.398964,35.440414,33.946316,25476
2014-12-17,35.606216,35.979275,35.336788,35.979275,34.462452,11966
2014-12-18,36.518135,36.860104,36.466320,36.860104,35.306152,13510
2014-12-19,37.108807,37.150257,36.849743,37.067356,35.504669,13028
2014-12-22,37.056995,37.129536,37.025906,37.119171,35.554295,5790
2014-12-23,37.388599,37.388599,37.046631,37.067356,35.504669,9650
2014-12-24,37.150257,37.150257,37.150257,37.150257,35.584087,386
2014-12-29,37.098446,37.098446,36.984455,37.015545,35.723091,3860
2014-12-30,36.943005,36.943005,36.715027,36.715027,35.433071,3088
2014-12-31,36.715027,36.891193,36.445595,36.455959,35.183033,7913
2015-01-02,36.818653,36.818653,36.113991,36.248707,34.983032,8589
2015-01-05,36.300518,36.300518,35.720207,35.813473,34.562988,5887
2015-01-06,36.000000,36.000000,35.067356,35.419689,34.182961,4536
2015-01-07,35.461140,35.668392,35.440414,35.668392,34.422977,7527
2015-01-08,36.124352,36.435234,36.031090,36.383419,35.113033,3474
2015-01-09,36.663212,36.663212,36.041451,36.196892,34.933022,6466
2015-01-12,36.373058,36.373058,35.730572,35.730572,34.482983,20748
2015-01-13,36.031090,36.414509,35.492229,35.626942,34.382965,7913
2015-01-14,35.575130,35.658031,35.305698,35.440414,34.202965,5308
2015-01-15,35.647667,35.647667,35.129536,35.160622,33.932934,6080
2015-01-16,34.984455,35.554405,34.984455,35.554405,34.312969,2606
2015-01-19,35.512955,35.585491,35.502590,35.585491,34.342972,3185
2015-01-20,35.803108,35.844559,35.398964,35.823833,34.572990,3860
2015-01-21,35.823833,35.979275,35.823833,35.979275,34.723007,6948
2015-01-22,36.259068,36.383419,35.886009,36.279793,35.013027,5983
2015-01-23,36.538860,36.797928,36.538860,36.735752,35.453072,4536
2015-01-26,36.580311,36.766838,36.538860,36.673576,35.393063,4246
2015-01-27,36.279793,36.279793,35.658031,35.865284,34.612995,7817
2015-01-28,36.217617,36.290154,35.585491,35.585491,34.342972,11291
2015-01-29,35.284973,35.834198,35.233162,35.834198,34.582993,5694
2015-01-30,35.896374,36.062176,35.523315,35.523315,34.282974,7431
2015-02-02,35.554405,35.854923,35.150257,35.854923,34.602997,9843
2015-02-03,36.176167,36.176167,35.813473,36.093266,34.833012,16598
2015-02-04,36.165802,36.373058,36.000000,36.082901,34.823013,10133
2015-02-05,36.300518,36.404144,36.300518,36.393784,35.123043,8782
2015-02-06,36.300518,36.580311,36.300518,36.310883,35.043030,7913
2015-02-09,36.466320,36.466320,36.165802,36.165802,34.903015,11291
2015-02-10,36.497410,36.704662,36.497410,36.704662,35.423061,5211
2015-02-11,36.580311,36.818653,36.580311,36.725388,35.443058,5115
2015-02-12,36.870464,37.212437,36.870464,37.202072,35.903111,6948
2015-02-13,37.305698,37.533680,37.284973,37.533680,36.223133,7913
2015-02-17,37.709846,37.709846,37.502590,37.533680,36.223133,7624
2015-02-18,37.668392,37.668392,37.512955,37.585491,36.273136,3571
2015-02-19,37.668392,37.823833,37.616581,37.803108,36.483154,4632
2015-02-20,37.917099,38.072540,37.730572,38.072540,36.743179,3378
2015-02-23,38.321243,38.321243,38.031090,38.134716,36.803185,5018
2015-02-24,38.217617,38.217617,38.041451,38.155441,36.823189,4922
2015-02-25,38.352333,38.352333,37.979275,38.051811,36.723171,11387
2015-02-26,38.248707,38.248707,38.041451,38.207253,36.873192,4053
2015-02-27,38.373058,38.373058,38.062176,38.062176,36.733177,10036
2015-03-02,38.227978,38.414509,38.176167,38.414509,37.073208,21230
2015-03-03,38.217617,38.279793,38.072540,38.248707,36.913200,15633
2015-03-04,38.145077,38.145077,37.948189,38.134716,36.803185,10036
2015-03-05,38.590675,38.590675,38.072540,38.186527,36.853188,13703
2015-03-06,38.196892,38.196892,37.772022,37.803108,36.483154,2992
2015-03-09,37.823833,37.886009,37.668392,37.823833,36.503155,8010
2015-03-10,37.326424,37.544041,37.181347,37.181347,35.883099,4343
2015-03-11,37.150257,37.150257,37.025906,37.056995,35.763100,3764
2015-03-12,37.046631,37.170982,36.880829,37.170982,35.873104,3667
2015-03-13,37.264248,37.264248,36.787563,36.984455,35.693092,7238
2015-03-16,37.305698,37.471504,37.129536,37.440414,36.133125,10905
2015-03-17,37.502590,37.502590,37.357513,37.502590,36.193123,6080
2015-03-18,37.274612,37.989635,37.274612,37.948189,36.623173,11484
2015-03-19,38.082901,38.082901,37.927460,37.979275,36.653172,3474
2015-03-20,38.217617,38.393784,38.217617,38.321243,36.983200,3378
2015-03-23,38.207253,38.259068,38.207253,38.217617,36.883194,1930
2015-03-24,38.000000,38.248707,38.000000,38.113991,36.783184,1448
2015-03-25,37.989635,37.989635,37.191711,37.191711,35.893101,13124
2015-03-26,36.818653,37.139896,36.715027,37.077721,35.783096,7141
2015-03-27,37.098446,37.108807,37.056995,37.056995,35.763100,3474
2015-03-30,37.253887,37.595856,37.253887,37.554405,36.243130,15923
2015-03-31,37.461140,37.461140,37.222797,37.222797,35.923100,1834
2015-04-01,37.264248,37.264248,36.777203,36.860104,35.573071,13510
2015-04-02,37.005180,37.025906,37.005180,37.025906,35.733086,676
2015-04-06,37.253887,37.388599,37.253887,37.367874,36.063114,18432
2015-04-07,37.212437,37.512955,37.212437,37.378239,36.073120,28854
2015-04-08,37.430054,37.471504,37.409325,37.471504,36.163132,579
2015-04-09,37.917099,37.917099,37.544041,37.730572,36.413162,1930
2015-04-10,37.823833,37.906734,37.730572,37.886009,36.563160,2606
2015-04-13,38.113991,38.113991,37.813473,37.813473,36.493160,9747
2015-04-14,37.647667,37.834198,37.626942,37.709846,36.393147,1544
2015-04-15,37.958549,37.958549,37.823833,37.823833,36.503155,3474
2015-04-16,37.823833,37.937824,37.823833,37.854923,36.533154,2413
2015-04-17,37.958549,37.958549,37.202072,37.347149,36.043121,14765
2015-04-20,37.367874,37.906734,37.367874,37.875648,36.553162,2606
2015-04-21,38.062176,38.082901,38.041451,38.041451,36.713173,2702
2015-04-22,38.248707,38.269428,38.082901,38.269428,36.933189,1641
2015-04-23,38.165802,38.497410,38.165802,38.497410,37.153210,2895
2015-04-24,38.673576,38.860104,38.673576,38.860104,37.503246,5501
2015-04-27,38.777203,39.036270,38.704662,38.735752,37.383236,13028
2015-04-28,38.880829,38.880829,38.601036,38.704662,37.353233,12159
2015-04-29,38.601036,38.601036,38.259068,38.476685,37.133217,3378
2015-04-30,38.113991,38.113991,37.813473,37.823833,36.503155,1737
2015-05-01,38.082901,38.331608,38.082901,38.331608,36.993202,1641
2015-05-04,38.424870,38.632126,38.424870,38.466320,37.123207,18335
2015-05-05,38.476685,38.476685,37.844559,37.844559,36.523155,1158
2015-05-06,38.020725,38.020725,37.419689,37.512955,36.203133,4922
2015-05-07,37.564766,37.854923,37.564766,37.761658,36.443153,14958
2015-05-08,38.186527,38.248707,38.186527,38.248707,36.913200,2123
2015-05-11,38.238342,38.269428,38.134716,38.134716,36.803185,2509
2015-05-12,38.072540,38.145077,37.658031,38.031090,36.703175,4729
2015-05-13,38.300518,38.300518,37.989635,37.989635,36.663170,1062
2015-05-14,38.321243,38.549225,38.238342,38.549225,37.203217,3667
2015-05-15,38.528496,38.549225,38.528496,38.549225,37.203217,1737
2015-05-19,38.860104,38.860104,38.673576,38.673576,37.323231,3957
2015-05-20,38.652851,38.901554,38.652851,38.766838,37.413227,13221
2015-05-21,38.756477,38.943005,38.756477,38.901554,37.543247,2123
2015-05-22,38.860104,38.994820,38.860104,38.922279,37.563248,1158
2015-05-25,38.963730,38.963730,38.922279,38.922279,37.563248,1930
2015-05-26,38.994820,38.994820,38.321243,38.383419,37.043201,1834
2015-05-27,38.642487,39.067356,38.528496,39.067356,37.703262,4053
2015-05-28,39.015545,39.015545,38.984455,38.984455,37.623249,2992
2015-05-29,38.808289,38.849743,38.652851,38.808289,37.453228,4632
2015-06-01,39.005180,39.005180,38.694302,38.901554,37.543247,7238
2015-06-02,38.746113,38.901554,38.746113,38.756477,37.403233,1930
2015-06-03,38.849743,38.849743,38.849743,38.849743,37.493244,2123
2015-06-04,38.704662,38.704662,38.559586,38.559586,37.213219,483
2015-06-05,38.549225,38.559586,38.341969,38.528496,37.183212,5211
2015-06-08,38.341969,38.341969,38.103626,38.103626,36.773178,4825
2015-06-09,37.813473,38.145077,37.803108,38.082901,36.753174,3764
2015-06-10,38.000000,38.652851,38.000000,38.632126,37.283226,1062
2015-06-11,39.119171,39.119171,38.611401,38.611401,37.263229,9168
2015-06-12,38.476685,38.476685,38.341969,38.341969,37.003204,483
2015-06-15,38.031090,38.145077,37.823833,38.124352,36.793179,8589
2015-06-16,37.927460,38.341969,37.927460,38.321243,36.983200,2799
2015-06-17,38.321243,38.321243,38.248707,38.269428,37.067505,7431
2015-06-18,38.839378,38.839378,38.787563,38.829018,37.609520,32424
2015-06-19,38.860104,38.860104,38.673576,38.673576,37.458961,4150
2015-06-22,38.974094,38.974094,38.922279,38.922279,37.699856,386
2015-06-23,38.766838,38.901554,38.766838,38.901554,37.679787,1351
2015-06-24,39.025906,39.025906,38.766838,38.766838,37.549290,2413
2015-06-25,38.984455,38.984455,38.735752,38.735752,37.519188,869
2015-06-26,38.839378,38.839378,38.383419,38.487045,37.278290,2220
2015-06-29,37.844559,38.082901,37.554405,37.554405,36.374943,9940
2015-06-30,37.772022,37.813473,37.533680,37.554405,36.374943,7238
2015-07-02,37.886009,38.020725,37.886009,38.020725,36.826611,3378
2015-07-03,38.031090,38.041451,37.989635,38.031090,36.836658,3571
2015-07-06,37.948189,38.103626,37.616581,37.782383,36.595760,4150
2015-07-07,37.927460,37.968910,37.264248,37.968910,36.776436,2895
2015-07-08,37.886009,37.886009,37.295338,37.357513,36.184235,2413
2015-07-09,37.968910,37.968910,37.305698,37.305698,36.134048,2509
2015-07-10,37.844559,37.958549,37.844559,37.854923,36.666023,1351
2015-07-13,37.989635,38.549225,37.989635,38.528496,37.318443,4632
2015-07-14,38.911919,38.911919,38.735752,38.808289,37.589436,8782
2015-07-15,38.683937,38.974094,38.683937,38.797928,37.579411,6659
2015-07-16,39.181347,39.430054,39.181347,39.430054,38.191681,4729
2015-07-17,39.689117,39.989635,39.689117,39.937824,38.683506,10229
2015-07-20,40.352333,40.352333,40.051811,40.217617,38.954517,13414
2015-07-21,39.917099,40.165802,39.917099,40.165802,38.904331,1641
2015-07-22,39.678757,39.865284,39.564766,39.678757,38.432579,15151
2015-07-23,39.544041,39.730572,39.481865,39.502590,38.261944,6852
2015-07-24,39.678757,39.678757,39.129536,39.181347,37.950787,4922
2015-07-27,38.870464,38.901554,38.787563,38.787563,37.569370,1834
2015-07-28,38.849743,39.191711,38.683937,39.119171,37.890564,3185
2015-07-29,39.212437,39.326424,39.088081,39.274612,38.041122,3764
2015-07-30,39.129536,39.533680,39.119171,39.533680,38.292057,4439
2015-07-31,39.274612,39.606216,39.274612,39.440414,38.201721,1351
2015-08-04,39.523315,39.523315,39.191711,39.191711,37.960823,2220
2015-08-05,39.430054,39.813473,39.430054,39.575130,38.332199,15923
2015-08-06,39.430054,39.430054,38.787563,38.922279,37.699856,4343
2015-08-07,38.735752,38.839378,38.538860,38.839378,37.619549,6080
2015-08-10,38.880829,39.336788,38.880829,39.305698,38.071232,8396
2015-08-11,39.046631,39.233162,38.673576,38.839378,37.619549,14186
2015-08-12,38.404144,38.922279,38.196892,38.922279,37.699856,13221
2015-08-13,39.160622,39.160622,38.839378,38.839378,37.619549,13607
2015-08-14,38.787563,38.911919,38.787563,38.911919,37.689819,1158
2015-08-17,38.715027,39.067356,38.715027,39.067356,37.840382,772
2015-08-18,39.222797,39.222797,39.036270,39.036270,37.810272,3957
2015-08-19,38.632126,38.756477,38.632126,38.756477,37.539257,386
2015-08-20,38.549225,38.549225,37.823833,37.948189,36.756367,3957
2015-08-21,37.316063,37.471504,36.155441,36.155441,35.019913,13896
2015-08-24,32.124352,36.062176,31.699482,34.963730,33.865631,46031
2015-08-25,36.373058,36.373058,34.455959,34.455959,33.373814,47961
2015-08-26,35.792747,36.248707,34.953369,36.227978,35.090179,17853
2015-08-27,37.015545,37.181347,36.373058,37.150257,35.983490,20458
2015-08-28,37.067356,37.181347,36.974094,37.181347,36.013599,8589
2015-08-31,37.108807,37.150257,36.735752,36.766838,35.612114,10326
2015-09-01,36.082901,36.290154,35.523315,35.523315,34.407654,21423
2015-09-02,36.155441,36.155441,35.896374,35.896374,34.768986,2413
2015-09-03,36.642487,36.860104,36.310883,36.393784,35.250778,8975
2015-09-04,36.062176,36.113991,35.720207,35.958549,34.829205,5018
2015-09-08,36.849743,36.953369,36.601036,36.953369,35.792786,4729
2015-09-09,37.056995,37.305698,36.663212,36.663212,35.511742,2606
2015-09-10,36.663212,36.901554,36.663212,36.849743,35.692413,3764
2015-09-11,36.932644,36.984455,36.932644,36.984455,35.822903,579
2015-09-14,37.398964,37.398964,36.974094,37.025906,35.863037,1544
2015-09-15,37.409325,37.544041,37.409325,37.481865,36.304684,8782
2015-09-16,37.409325,37.564766,37.378239,37.564766,36.384983,6852
2015-09-17,37.595856,37.968910,37.595856,37.772022,36.585728,7431
2015-09-18,36.911919,37.347149,36.911919,37.191711,36.023636,2702
2015-09-21,36.963730,37.492229,36.963730,37.264248,36.093895,2220
2015-09-22,36.435234,36.715027,36.435234,36.715027,35.561932,1351
2015-09-23,37.160622,37.160622,36.621761,36.704662,35.551888,1255
2015-09-24,36.683937,36.683937,36.269428,36.642487,35.491673,676
2015-09-25,36.839378,36.870464,36.227978,36.227978,35.090179,3281
2015-09-28,35.968910,35.968910,35.222797,35.305698,34.196869,6562
2015-09-29,35.139896,35.689117,34.922279,34.922279,33.825489,5115
2015-09-30,35.284973,35.844559,35.284973,35.844559,34.718796,1641
2015-10-01,35.606216,35.896374,35.606216,35.792747,34.668613,579
2015-10-02,35.792747,36.549225,35.792747,36.549225,35.401337,3378
2015-10-05,37.056995,37.139896,36.901554,37.139896,35.973450,5018
2015-10-06,37.316063,37.316063,36.911919,36.911919,35.752632,1930
2015-10-07,36.943005,36.943005,36.943005,36.943005,35.782738,579
2015-10-08,36.839378,37.129536,36.704662,37.129536,35.963417,2606
2015-10-09,37.585491,37.585491,37.305698,37.409325,36.234425,2895
2015-10-13,37.461140,37.595856,37.367874,37.367874,36.194275,3860
2015-10-14,37.626942,37.626942,37.181347,37.305698,36.134048,1255
2015-10-15,37.606216,37.782383,37.398964,37.761658,36.575687,10133
2015-10-16,37.875648,37.886009,37.782383,37.875648,36.686096,3281
2015-10-19,37.637306,38.186527,37.637306,38.186527,36.987213,1930
2015-10-20,38.165802,38.165802,38.010365,38.010365,36.816586,483
2015-10-21,38.227978,38.227978,38.062176,38.062176,36.866768,772
2015-10-22,37.948189,38.549225,37.948189,38.538860,37.328484,4343
2015-10-23,39.481865,39.709846,39.450775,39.606216,38.362316,3474
2015-10-26,39.689117,39.689117,39.585491,39.668392,38.422539,2895
2015-10-27,39.626942,39.772022,39.626942,39.678757,38.432579,5211
2015-10-28,39.896374,39.968910,39.709846,39.958549,38.703583,2123
2015-10-29,40.207253,40.207253,39.948189,40.031090,38.773842,1544
2015-10-30,40.341969,40.341969,39.958549,40.041451,38.783886,3474
2015-11-02,40.176167,40.290154,39.948189,40.290154,39.024780,4439
2015-11-03,40.424870,40.518135,40.238342,40.393784,39.125153,26634
2015-11-04,40.746113,40.746113,40.259068,40.393784,39.125153,8878
2015-11-05,40.694302,40.694302,40.259068,40.331608,39.064919,3281
2015-11-06,40.476685,40.476685,40.155441,40.259068,38.994667,10036
2015-11-09,40.476685,40.476685,39.658031,39.896374,38.643353,4053
2015-11-10,39.937824,39.937824,39.751293,39.792747,38.542995,3571
2015-11-11,39.772022,39.772022,39.772022,39.772022,38.522907,290
